area,lon,lat
Aberdeen,-2.0928095,57.1482429
St Albans,-0.3379675,51.753051
Birmingham,-1.9026911,52.4796992
Bath,-2.3596963,51.3813864
Blackburn,-2.4840566,53.749326
Bradford,-1.7519186,53.7944229
British Forces,-0.409952,51.552105
Bournemouth,-1.8799118,50.7201514
Bolton,-2.4300367,53.5782863
Brighton,-0.1400561,50.8214626
Bromley,0.0148142,51.4028046
Bristol,-2.5972985,51.4538022
Northern Ireland,-6.9591554,54.5859836
Carlisle,-2.9362311,54.8948478
Cambridge,0.1186637,52.2055314
Cardiff,-3.1791934,51.4816546
Chester,-2.8908955,53.1908873
Chelmsford,0.4730532,51.7345329
Colchester,0.8994651,51.8896903
Croydon,-0.101957,51.3713049
Canterbury,1.0802533,51.2800275
Coventry,-1.510477,52.4081812
Crewe,-2.4414627,53.0996153
Dartford,0.21807,51.4443059
Dundee,-2.97019,56.4605938
Derby,-1.4761491,52.9212617
Dumfries and Galloway,-3.833333,55.083333
Durham,-1.75,54.666667
Darlington,-1.5555812,54.5242081
Doncaster,-1.1335312,53.5227681
Dorchester,-2.4371229,50.7132064
Dudley,-2.0816813,52.5110832
East London,-0.4795996130332276,51.53209015
Central London,-0.2593481,51.5234688
Edinburgh,-3.1883749,55.9533456
Enfield,-0.0810175,51.6520851
Exeter,-3.5269209,50.7256138
Falkirk and Stirling,-4.452616,56.291291
Blackpool,-3.0509812,53.8179442
Glasgow,-4.2501687,55.861155
Gloucester,-2.2458192,51.8653705
Guildford,-0.5732063,51.2356068
Harrow,-0.3373046180437286,51.596827149999996
Huddersfield,-1.7822482,53.6466645
Harrogate,-1.5391039,53.9921491
Hemel Hempstead,-0.472528,51.7511784
Hereford,-2.7151735,52.0553813
Outer Hebrides,-7.166667,57.666667
Hull,-0.3394758,53.7435722
Halifax,-1.8604874,53.7229229
Ilford,0.0711669,51.5582734
Ipswich,1.1528095,52.0579324
Inverness,-4.225739,57.4790124
Kilmarnock,-4.4964652,55.6100589
Kingston upon Thames,-0.3062621,51.4096275
Kirkwall,-2.960369,58.9816049
Kirkcaldy,-3.1582296,56.1110218
Liverpool,-2.99168,53.4071991
Lancaster,-2.8013499,54.0488219
Llandrindod Wells,-3.3793614,52.2405222
Leicester,-1.1331969,52.6362
Llandudno,-3.8243251,53.322475
Lincoln,-0.5404819,53.2293545
Leeds,-1.5437941,53.7974185
Luton,-0.4152837,51.8784385
Manchester,-2.2451148,53.4794892
Rochester,0.504925,51.3883811
Milton Keynes,-0.7594092,52.0406502
Motherwell,-3.9904173,55.7893512
North London,-0.044149855791950215,51.618338949999995
Newcastle upon Tyne,-1.6131572,54.9738474
Nottingham,-1.1496461,52.9534193
Northampton,-0.9028043436565986,52.23432965000001
Newport,-2.9974967,51.5882332
Norwich,1.2923954,52.6285576
North West London,-0.3983170478057504,51.47588465
Oldham,-2.1147831,53.5415797
Oxford,-1.2578499,51.7520131
Paisley,-4.4239646,55.8455828
Peterborough,-0.2427336,52.5725769
Perth,-3.4303103,56.3958757
Plymouth,-4.1424451,50.3714122
Portsmouth,-1.0906023,50.800031
Preston,-2.6992717,53.7593363
Reading,-0.9700664,51.4564242
Redhill,-0.1682816,51.2404691
Romford,0.1822646,51.5760462
Sheffield,-1.4702278,53.3806626
Swansea,-3.9459248,51.6195955
South East London,-0.0666848,51.468032
Stevenage,-0.2027155,51.9016663
Stockport,-2.160243,53.407901
Slough,-0.5940682,51.5111014
Sutton,-0.17362689496950337,51.357464449999995
Swindon,-1.7854322,51.5615327
Southampton,-1.404189,50.9025349
Salisbury,-1.7954134,51.0690613
Sunderland,-1.3828727,54.9058512
Southend-on-Sea,0.7128137,51.5388241
Stoke-on-Trent,-2.1812607,53.0162014
South West London,-0.3985761307171166,51.475777699999995
Shrewsbury,-2.7540658,52.707755
Taunton,-3.1029086,51.0147895
Galashiels,-2.8061618,55.6156505
Telford,-2.4514219,52.6780532
Tonbridge,0.2750712,51.1955494
Torquay,-3.5211361,50.4652392
Truro,-5.0518107,50.2633173
Cleveland,-1.2072471677500007,54.5956707
Twickenham,-0.3281887,51.4467444
Southall,-0.3755169,51.5111461
West London,0.5513275,52.3988524
Warrington,-2.5943178,53.3899497
Central London,-0.2593481,51.5234688
Watford,-0.3957425,51.6553875
Wakefield,-1.4967286,53.6829541
Wigan,-2.6319112,53.546215
Worcester,-2.2206585,52.1911849
Walsall,-1.9822687,52.5847949
Wolverhampton,-2.127567,52.5847651
York,-1.0815361,53.9590555
Lerwick,-1.1427068,60.153111
